stock,subject,n,mean_30m_return_pct,median_30m_return_pct,std_30m_return_pct,ci95_low,ci95_high,mean_30m_volume_change_pct
FSN E-Commerce Ventures Ltd,Board / Management,22,-0.018234246032030114,-0.0700726567506888,1.2016983868887634,-0.48359053161677296,0.4782930230907463,78.03028056872179
FSN E-Commerce Ventures Ltd,Business / Strategic,15,-0.05890364759105424,0.015241579027590723,0.8125411228269055,-0.45713134313316706,0.3712336803512255,67.37584805275598
FSN E-Commerce Ventures Ltd,Corporate Actions,33,-0.09596799395257646,-0.025879917184256186,1.3023067494649105,-0.542708226637131,0.33173412130269747,128.01612187957133
FSN E-Commerce Ventures Ltd,Credit / Financing,4,-0.7551479636303445,-0.8473705183932307,1.853744813794254,-2.3120720946977764,0.8939987221999737,137.58848113312655
FSN E-Commerce Ventures Ltd,Financial Results,30,0.32494278210429,-0.036792775568516595,1.5184129441518965,-0.2035531546351499,0.8686999096524454,958.4703956456271
FSN E-Commerce Ventures Ltd,Investor / Analyst,45,0.10274834091749964,0.04618226600985397,1.0825085950366629,-0.20287347017980803,0.42455210752920375,460.03365774919627
FSN E-Commerce Ventures Ltd,Other,25,0.9415394676484236,0.9190476190476223,1.7434721566154265,0.23029149424114023,1.6077900536989684,306.8519037887176
FSN E-Commerce Ventures Ltd,Regulatory / Compliance,37,0.03183320675876171,0.02941176470588904,0.8834829013292623,-0.2524875153141748,0.3107036208109211,269.22473856073407
HDFC Bank Ltd,Board / Management,47,-0.21298686381678886,-0.014940239043822436,0.9862593692558265,-0.557699706399154,0.03835576432095481,42.42998862626
HDFC Bank Ltd,Business / Strategic,10,-0.13643812441777423,-0.2803845458564273,0.9329559013227143,-0.6554794184925247,0.3984057000865785,54.894790648951
HDFC Bank Ltd,Corporate Actions,75,0.010406163692370093,-0.052369730295886,0.6334762586491749,-0.14671925024509327,0.14930330506158213,34.4645211294478
HDFC Bank Ltd,Credit / Financing,3,-0.20035804170323565,-0.2814070351758748,0.35159961431074777,-0.5043558000917057,0.18468871015787366,-11.663697503723485
HDFC Bank Ltd,Financial Results,40,0.188647985571325,0.37152412585372185,1.5258532575543502,-0.2875211651333533,0.6001503134211461,113.096287116122
HDFC Bank Ltd,Investor / Analyst,60,-0.1376199328140502,-0.04992619781602291,0.5269967113528015,-0.2741463420969297,-0.012446415879762755,56.139782330628606
HDFC Bank Ltd,Other,14,0.28853988285610516,0.14111977913233378,0.839158236054475,-0.0612035689066264,0.7445248317182935,46.30038797582055
HDFC Bank Ltd,Regulatory / Compliance,135,0.07288618207872227,0.013719303059407701,0.8464858370758835,-0.06570913599408053,0.21793683653912244,45.7482699341501
Hindustan Aeronautics Ltd,Board / Management,28,0.1795569944950876,0.10466648109531798,0.8587440623959958,-0.1387683862620744,0.5015248105077112,30.65843642512052
Hindustan Aeronautics Ltd,Business / Strategic,17,0.9305326395081766,0.7944864554417492,1.2900257619889621,0.35845986327006224,1.5279062980208138,194.60871037679368
Hindustan Aeronautics Ltd,Corporate Actions,14,0.14619510886605994,0.11749034426206363,0.7678187310245606,-0.21543441957986026,0.540741094298102,-7.096581738698353
Hindustan Aeronautics Ltd,Credit / Financing,4,-0.14489965312188696,0.0967744015267274,0.6423178401879139,-0.7435787472478568,0.28008562800157416,51.43283903583267
Hindustan Aeronautics Ltd,Financial Results,20,0.08034662801030128,0.5667942401995154,2.185151378658485,-1.0247111721911943,0.9532157128125563,1735.9977556095382
Hindustan Aeronautics Ltd,Investor / Analyst,24,0.7048128424224908,0.13784058844398878,2.189921324791266,-0.16390003862784785,1.551174494201714,181.00817049796854
Hindustan Aeronautics Ltd,Other,36,0.19974563011429697,0.14168739868981034,1.7718751907415498,-0.4355935389859776,0.7002321776246364,89.08050342268115
