scope,stock,horizon_sessions,n,mean_drift_pct,median_drift_pct,ci95_low,ci95_high,continuation_pct,continuation_ci95_low_pct,continuation_ci95_high_pct
pooled,ALL,1,142,-0.2547377648470062,-0.39226694769006737,-0.5927967635229667,0.07253337021660608,52.816901408450704,44.640309470218455,60.845093871489254
stock,FSN E-Commerce Ventures Ltd,1,30,0.13676482112128763,0.10420673192084969,-0.41887007558317946,0.630910148464118,40.0,24.590394326083402,57.67994750172616
stock,HDFC Bank Ltd,1,40,-0.1124005586865063,-0.0979542416668138,-0.4798007031769728,0.2848542696657887,55.00000000000001,39.82882988844077,69.2949247190553
stock,Hindustan Aeronautics Ltd,1,20,-0.011959341200710428,-0.07518132968915645,-0.9241462642657506,0.8057597548225994,40.0,21.880396741419272,61.342205768479396
stock,Rail Vikas Nigam Ltd,1,28,-0.9577952329694909,-1.2429347668167918,-2.2721324196597754,0.4794346918980165,67.85714285714286,49.33850455563118,82.06695245657927
stock,Reliance Industries Ltd,1,24,-0.36342631447055473,-0.3919027166646808,-0.7590802840205044,0.04204481962693336,58.333333333333336,38.83433764938864,75.53265275346178
pooled,ALL,3,142,0.14425648091194318,-0.03220977258563306,-0.433982316174515,0.7327780455229599,52.112676056338024,43.94914157148381,60.16491093479698
stock,FSN E-Commerce Ventures Ltd,3,30,0.7214141375424439,0.5637954394764892,-0.4391478073697447,1.8739933461132459,56.666666666666664,39.197009545408726,72.62276256938489
stock,HDFC Bank Ltd,3,40,-0.15318779305285118,-0.03220977258563306,-0.7333422802491225,0.489470619655737,52.5,37.497106853929736,67.06477044981831
stock,Hindustan Aeronautics Ltd,3,20,0.7916098467638124,1.3729082772827366,-0.8849619103076068,2.6938538483551495,50.0,29.92949144298199,70.070508557018
stock,Rail Vikas Nigam Ltd,3,28,-0.207786648227981,-1.2334495192307675,-2.1761970752154385,1.8983275310009684,46.42857142857143,29.531303739659588,64.18760485789832
stock,Reliance Industries Ltd,3,24,-0.21019428748150482,-0.48350634377464785,-0.849630298463626,0.4993581402203076,54.166666666666664,35.07455355310663,72.10894164831856
pooled,ALL,5,142,0.5013600834371148,0.310770533399197,-0.2117724282797479,1.2258602095050093,52.112676056338024,43.94914157148381,60.16491093479698
stock,FSN E-Commerce Ventures Ltd,5,30,1.558809986753184,1.5542610599774491,0.10128523579911683,3.0576595174787564,50.0,33.15385122717377,66.84614877282624
stock,HDFC Bank Ltd,5,40,0.03453760245481094,0.10192314356451443,-0.5827427286558539,0.7238114001256467,52.5,37.497106853929736,67.06477044981831
stock,Hindustan Aeronautics Ltd,5,20,1.4297354124658774,2.4074090525808383,-0.1786589980196545,2.994169800592707,50.0,29.92949144298199,70.070508557018
stock,Rail Vikas Nigam Ltd,5,28,-0.19493542586621265,-0.7665064822817608,-2.5045272857233183,2.301509787494072,57.14285714285714,39.070478985615395,73.49170381926878
stock,Reliance Industries Ltd,5,24,-0.00371617407421887,0.24511447127408093,-1.3653498608172863,1.2597262972170717,50.0,31.42713162776308,68.57286837223691
pooled,ALL,10,141,0.4995134184239939,-0.21938119373629555,-0.4702484029878147,1.559273122471934,49.645390070921984,41.512088716989126,57.79750189786187
stock,FSN E-Commerce Ventures Ltd,10,30,2.302236388700936,-0.21397723201847174,-0.17041918180159554,4.778078785816662,43.333333333333336,27.37723743061511,60.80299045459127
stock,HDFC Bank Ltd,10,40,-0.3796716896459197,-0.16648355560001932,-1.352244885843229,0.5581760841056509,47.5,32.935229550181695,62.50289314607027
stock,Hindustan Aeronautics Ltd,10,19,2.1127685465970547,2.2332506203473943,-0.7467067182722184,4.976563864587891,47.368421052631575,27.329505487448547,68.29251748817488
stock,Rail Vikas Nigam Ltd,10,28,-1.0739741575820507,-3.125,-4.12515536371105,1.9818577442866816,50.0,32.63284683244634,67.36715316755367
stock,Reliance Industries Ltd,10,24,0.2699934145643842,-0.15384779649882938,-1.4454340264759158,1.9578812922931368,62.5,42.70961903790707,78.84086656636855
pooled,ALL,20,136,1.1349713879427217,-0.46676898742896067,-0.3961235674007533,2.7637112383445204,50.73529411764706,42.42876511786049,59.001424468071015
stock,FSN E-Commerce Ventures Ltd,20,28,4.682336964095148,4.868865183298167,1.3385697909863925,8.035146344066664,46.42857142857143,29.531303739659588,64.18760485789832
stock,HDFC Bank Ltd,20,39,-1.4522304623888267,-0.7174782404140229,-2.8596614128990687,-0.07856068182722237,51.28205128205128,36.19910864569657,66.1350712168669
stock,Hindustan Aeronautics Ltd,20,18,3.9580260751696223,1.7362270450751252,-1.0013659148230207,9.928575592326574,55.55555555555556,33.716069428251636,75.44076889861088
stock,Rail Vikas Nigam Ltd,20,27,-0.06896205892957372,-2.5540865384615383,-4.378447501297335,4.63782980380609,48.148148148148145,30.742950649709076,66.01467541378958
stock,Reliance Industries Ltd,20,24,0.43771533486481556,-0.4752291651506876,-1.5405656234607872,2.4620701262496003,54.166666666666664,35.07455355310663,72.10894164831856
